
#Trajectory
#T	,x	,y	,z
10.9000000000,0.0875599712,-0.1548500593,0.1024547603
10.9100000000,0.0880799946,-0.1541263295,0.1025198933
10.9200000000,0.0885921001,-0.1533967122,0.1025849617
10.9300000000,0.0890962298,-0.1526612811,0.1026499586
10.9400000000,0.0895923268,-0.1519201103,0.1027148772
10.9500000000,0.0900803347,-0.1511732749,0.1027797105
10.9600000000,0.0905601983,-0.1504208504,0.1028444517
10.9700000000,0.0910318629,-0.1496629128,0.1029090939
10.9800000000,0.0914952749,-0.1488995391,0.1029736301
10.9900000000,0.0919503813,-0.1481308065,0.1030380535
11.0000000000,0.0923971301,-0.1473567932,0.1031023570
11.0100000000,0.0928354702,-0.1465775777,0.1031665337
11.0200000000,0.0932653512,-0.1457932391,0.1032305767
11.0300000000,0.0936867237,-0.1450038573,0.1032944790
11.0400000000,0.0940995390,-0.1442095125,0.1033582337
11.0500000000,0.0945037495,-0.1434102857,0.1034218337
11.0600000000,0.0948993083,-0.1426062582,0.1034852722
11.0700000000,0.0952861694,-0.1417975122,0.1035485420
11.0800000000,0.0956642879,-0.1409841300,0.1036116363
11.0900000000,0.0960336195,-0.1401661948,0.1036745481
11.1000000000,0.0963941210,-0.1393437901,0.1037372703
11.1100000000,0.0967457501,-0.1385170001,0.1037997961
11.1200000000,0.0970884654,-0.1376859092,0.1038621183
11.1300000000,0.0974222262,-0.1368506027,0.1039242301
11.1400000000,0.0977469930,-0.1360111660,0.1039861244
11.1500000000,0.0980627273,-0.1351676853,0.1040477943
11.1600000000,0.0983693911,-0.1343202470,0.1041092328
11.1700000000,0.0986669478,-0.1334689381,0.1041704330
11.1800000000,0.0989553614,-0.1326138460,0.1042313879
11.1900000000,0.0992345972,-0.1317550587,0.1042920904
11.2000000000,0.0995046210,-0.1308926643,0.1043525338
11.2100000000,0.0997654000,-0.1300267517,0.1044127110
11.2200000000,0.1000169021,-0.1291574099,0.1044726152
11.2300000000,0.1002590962,-0.1282847286,0.1045322394
11.2400000000,0.1004919521,-0.1274087975,0.1045915766
11.2500000000,0.1007154408,-0.1265297072,0.1046506201
11.2600000000,0.1009295341,-0.1256475482,0.1047093630
11.2700000000,0.1011342048,-0.1247624117,0.1047677983
11.2800000000,0.1013294266,-0.1238743891,0.1048259192
11.2900000000,0.1015151744,-0.1229835720,0.1048837190
11.3000000000,0.1016914239,-0.1220900528,0.1049411907
11.3100000000,0.1018581519,-0.1211939238,0.1049983276
11.3200000000,0.1020153361,-0.1202952777,0.1050551229
11.3300000000,0.1021629552,-0.1193942077,0.1051115699
11.3400000000,0.1023009891,-0.1184908071,0.1051676617
11.3500000000,0.1024294184,-0.1175851696,0.1052233918
11.3600000000,0.1025482249,-0.1166773891,0.1052787534
11.3700000000,0.1026573914,-0.1157675599,0.1053337398
11.3800000000,0.1027569016,-0.1148557765,0.1053883443
11.3900000000,0.1028467403,-0.1139421335,0.1054425605
11.4000000000,0.1029268933,-0.1130267260,0.1054963816
11.4100000000,0.1029973474,-0.1121096491,0.1055498012
11.4200000000,0.1030580905,-0.1111909984,0.1056028126
11.4300000000,0.1031091114,-0.1102708694,0.1056554095
11.4400000000,0.1031503999,-0.1093493580,0.1057075852
11.4500000000,0.1031819471,-0.1084265601,0.1057593334
11.4600000000,0.1032037447,-0.1075025722,0.1058106476
11.4700000000,0.1032157858,-0.1065774904,0.1058615215
11.4800000000,0.1032180644,-0.1056514115,0.1059119488
11.4900000000,0.1032105753,-0.1047244320,0.1059619231
11.5000000000,0.1031933148,-0.1037966489,0.1060114382
11.5100000000,0.1031662798,-0.1028681590,0.1060604878
11.5200000000,0.1031294685,-0.1019390596,0.1061090657
11.5300000000,0.1030828800,-0.1010094478,0.1061571659
11.5400000000,0.1030265144,-0.1000794210,0.1062047821
